judge,query_id,question_kr,system,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,comment
Claude,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System A,1,1,2,2,1,7,Irrelevant ML/AI papers; honestly states no learning curve evidence
Claude,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System B,4,5,4,4,5,22,Excellent; BE-TLIF 39 cases UBE 31 MIS-TLIF 43; complication 17.07% to 2.6%; logarithmic model
Claude,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System C,3,4,2,1,4,14,0 papers; detailed LLM (20-30 TLIF 40-60 endoscopic); all memory
Claude,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System D,4,4,4,4,4,20,Good retrieval; proficiency 20-43 cases; complication 13.95% learning phase
Claude,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System A,3,4,2,1,4,14,0 papers; comprehensive LLM; plausible numbers but unverifiable
Claude,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System B,3,3,3,3,3,15,Relevant retrieval with 1a meta-analysis; lacks specific kyphosis data
Claude,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System C,4,4,4,4,4,20,Strong retrieval (3 meta-analyses + RCT); 55% SSF failure rate p<0.05
Claude,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System D,4,4,4,4,4,20,Best quantitative data; Cobb 2.52deg CI 0.35-4.70 P=.02; implant failure MD=3.43
Claude,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System A,2,1,2,2,1,8,Retrieved papers cannot answer; all compare PVP vs PKP not vs conservative
Claude,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System B,3,2,3,3,2,13,Some quantitative data; no conservative comparison; risk factor analysis useful
Claude,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System C,3,4,2,1,4,14,0 papers; LLM covering the question; some citation errors (VERTOS misattribution)
Claude,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System D,3,2,3,3,2,13,Specific kyphosis correction data; honest about inability to answer core question
Claude,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System A,3,2,3,2,2,12,6/10 papers irrelevant; no methylprednisolone; minimal synthesis
Claude,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System B,4,3,4,3,4,18,Focused retrieval; OR 2.30 for ultra-early; time-is-spine concept; honest limitations
Claude,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System C,3,5,2,1,4,15,0 papers; covers timing AND methylprednisolone; STASCIS misidentified as RCT
Claude,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System D,4,3,4,4,4,19,Best retrieval (3x 1a); OR 2.30; unique SCI-POEM QOL finding; no methylprednisolone data
Claude,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System A,3,3,3,3,3,15,Relevant retrieval; 90% conservative success; timing framework; limited organism-specific
Claude,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System B,4,4,4,4,4,20,Excellent; 31 vs 46 days antibiotics; culture-negative strategy; most comprehensive
Claude,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System C,3,3,3,3,2,14,Good retrieval but vague synthesis; mentions predictors without detailing
Claude,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System D,4,5,2,1,5,17,0 papers; extraordinarily detailed organism-specific protocols; all LLM memory
Claude,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System A,3,3,3,3,2,14,Relevant vancomycin retrieval; SSI incidence; no betadine or treatment data
Claude,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System B,4,5,2,1,5,17,0 papers; comprehensive risk factors + prevention + treatment with doses; all LLM
Claude,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System C,1,1,1,2,1,6,10 completely irrelevant papers; total retrieval failure; honest
Claude,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System D,4,4,4,4,4,20,Best retrieval (2x 1a + RCT); cefazolin vs vancomycin; pathogen info; IVP evidence
Claude,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System A,4,4,3,4,4,19,Good retrieval; SINS data 5.3 vs 8.6mo survival; mostly review evidence
Claude,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System B,3,4,2,1,3,13,0 papers; LLM with named citations; specific kappa values likely fabricated
Claude,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System C,4,5,4,4,4,21,Best retrieval (1a+2a+2b); SINS 9 cutoff; SBRT prognostic data
Claude,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System D,1,1,1,2,1,6,Complete retrieval failure; all 10 papers irrelevant; honest
Claude,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System A,4,4,3,4,4,19,Specific LC 84% 1yr; mostly review evidence; adjacent level progression covered
Claude,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System B,3,2,3,3,2,13,Mixed retrieval; lacks specific outcome numbers; honest about gaps
Claude,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System C,4,5,2,1,4,16,0 papers; detailed LC/OS/PFS numbers; all LLM citations
Claude,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System D,4,5,4,4,5,22,Best response; LC 84% 1yr; 7.9% vs 20% LF p=0.051; OS 16mo; PROs; summary table
Claude,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System A,2,2,2,2,2,10,Only 1-2 relevant of 10; honestly admits gaps; fails to answer meaningfully
Claude,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System B,4,5,2,1,4,16,0 papers; comprehensive tumor-specific data; plausible but unverifiable
Claude,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System C,4,4,3,4,4,19,All 6 papers relevant; 77.8% marginal margins; 8% LR; 89% ambulation; 63.6% 5yr OS
Claude,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System D,4,4,3,4,4,19,Good retrieval; 82.4% adequate margins; 22.3% recurrence; GTR by histology
Claude,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System A,3,3,3,3,3,15,Moderate retrieval; covers indications/advantages; lacks specific complication data
Claude,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System B,1,1,1,2,1,6,Complete retrieval failure; all papers about degenerative MIS-TLIF; honest
Claude,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System C,4,4,3,4,4,19,Strong retrieval; PRO improvements; cement contraindications; SINS-based selection
Claude,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System D,4,5,2,1,5,17,0 papers; extremely detailed LLM with specific numbers; all memory
Claude,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System A,4,5,3,4,4,20,Excellent; GTR rates by histology; pediatric ependymoma HR 0.050; en bloc rates
Claude,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System B,4,3,3,4,3,17,4 papers all relevant; astrocytoma no GTR-STR survival difference p=0.42; concise
Claude,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System C,4,5,2,1,4,16,0 papers; comprehensive tumor-specific tables; all LLM citations
Claude,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System D,1,1,2,2,1,7,Near-complete retrieval failure; only 1 marginally relevant paper
