judge,query_id,question_kr,system,H1_fabricated_ref,H2_misattributed,H3_unsupported,H4_numerical,H5_overall_risk,total,fabricated_count,unsupported_count,comment
Gemini,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System A,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System C,2,1,5,2,1,11,20,0,No retrieved papers; high hallucination risk. Contains ~20 potentially unverifiable citations.
Gemini,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System D,5,4,4,4,5,22,0,2,All citations from database; well-grounded.
Gemini,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System A,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System B,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System C,2,1,5,2,1,11,17,0,No retrieved papers; high hallucination risk. Contains ~17 potentially unverifiable citations.
Gemini,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System A,5,3,2,4,3,17,0,8,Mixed reliability.
Gemini,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System B,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System C,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System D,2,1,5,2,1,11,33,0,No retrieved papers; high hallucination risk. Contains ~33 potentially unverifiable citations.
Gemini,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System B,2,1,5,2,1,11,38,0,No retrieved papers; high hallucination risk. Contains ~38 potentially unverifiable citations.
Gemini,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System C,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System A,5,4,4,5,5,23,0,1,All citations from database; well-grounded.
Gemini,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System B,2,1,5,2,1,11,18,0,No retrieved papers; high hallucination risk. Contains ~18 potentially unverifiable citations.
Gemini,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System C,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System D,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System B,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System C,2,1,5,2,1,11,17,0,No retrieved papers; high hallucination risk. Contains ~17 potentially unverifiable citations.
Gemini,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System A,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System B,2,1,5,2,1,11,24,0,No retrieved papers; high hallucination risk. Contains ~24 potentially unverifiable citations.
Gemini,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System C,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System A,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System B,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System C,5,3,2,4,3,17,0,8,Mixed reliability.
Gemini,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System D,2,1,5,2,1,11,39,0,No retrieved papers; high hallucination risk. Contains ~39 potentially unverifiable citations.
Gemini,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System C,2,1,5,2,1,11,26,0,No retrieved papers; high hallucination risk. Contains ~26 potentially unverifiable citations.
Gemini,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System D,5,4,3,5,4,21,0,4,"Mostly reliable, minor unsupported claims."
