judge,query_id,question_kr,system,H1_fabricated_ref,H2_misattributed,H3_unsupported,H4_numerical,H5_overall_risk,total,fabricated_count,unsupported_count,comment
GPT,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System B,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System C,1,2,1,2,2,8,23,20,LLM-only; 23 unverifiable author-year citations; high hallucination risk
GPT,MIS-005,"최소침습 척추 수술의 학습 곡선에 대한 근거(숙련도 도달에 필요한 증례 수, 경험에 따른 합병증률 변화 포함)는?",System D,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System A,1,2,1,2,2,8,12,14,LLM-only; 12 unverifiable author-year citations; high hallucination risk
GPT,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System B,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System C,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TR-001,"흉요추부 방출 골절에서 단분절 vs 장분절 후방 고정의 후만 교정, 실패율, 기능적 결과 비교 근거는?",System D,5,5,4,4,4,22,0,2,6 papers retrieved; claims mostly grounded; generally reliable
GPT,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System A,5,5,3,4,3,20,0,5,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System B,4,3,3,3,3,16,0,4,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System C,1,2,1,2,2,8,20,18,LLM-only; 20 unverifiable author-year citations; high hallucination risk
GPT,TR-002,"골다공증성 척추 압박골절에서 척추성형술/풍선후만성형술 vs 보존적 치료의 통증 완화, 후만 진행, 인접 골절 위험 비교 근거는?",System D,4,4,2,3,3,16,0,7,6 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System A,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System B,5,5,5,4,5,24,0,0,5 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System C,1,2,1,2,2,8,18,20,LLM-only; 18 unverifiable author-year citations; high hallucination risk
GPT,TR-003,급성 척수 손상에서 수술적 감압의 시점에 대한 현재 근거와 메틸프레드니솔론의 역할은?,System D,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System A,5,5,4,4,4,22,0,2,7 papers retrieved; claims mostly grounded; generally reliable
GPT,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System B,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System C,4,3,3,3,3,16,0,4,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,TR-004,화농성 척추 추간판염에서 수술 vs 항생제 단독 치료의 근거(수술 적응증 및 원인균별 치료 전략 포함)는?,System D,1,2,1,2,2,8,15,20,LLM-only; 15 unverifiable author-year citations; high hallucination risk
GPT,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System A,5,5,5,4,5,24,0,0,7 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System B,1,2,1,2,2,8,14,20,LLM-only; 14 unverifiable author-year citations; high hallucination risk
GPT,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System C,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,TR-005,"척추 수술 후 수술 부위 감염의 위험인자, 예방 전략(반코마이신 분말, 베타딘 세척), 치료 접근법은?",System D,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System A,5,5,4,4,4,22,0,2,9 papers retrieved; claims mostly grounded; generally reliable
GPT,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System B,1,2,1,2,2,8,11,20,LLM-only; 11 unverifiable author-year citations; high hallucination risk
GPT,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System C,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,TU-001,NOMS 프레임워크 내에서 전이성 척추 질환의 수술적 의사결정을 위한 SINS(척추 불안정성 종양 점수) 활용 근거는?,System D,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System A,5,5,3,4,4,21,0,4,7 papers retrieved; some uncited synthesis; generally reliable
GPT,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System B,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System C,4,4,1,2,2,13,0,13,LLM-only; no verifiable citations in answer body; high hallucination risk
GPT,TU-002,전이성 척추 종양에서 분리 수술 후 정위체부방사선치료(SBRT)의 국소 제어율 및 생존율 결과는?,System D,5,5,4,5,5,24,0,2,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System A,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System B,1,2,1,2,2,8,14,20,LLM-only; 14 unverifiable author-year citations; high hallucination risk
GPT,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System C,5,5,3,4,4,21,0,4,6 papers retrieved; some uncited synthesis; generally reliable
GPT,TU-003,"원발성 척추 종양에서 전절제술(en bloc spondylectomy)의 수술 변연, 재발, 기능적 결과 및 예후 인자는?",System D,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System A,5,5,4,4,4,22,0,2,6 papers retrieved; claims mostly grounded; generally reliable
GPT,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System B,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System C,5,5,4,5,5,24,0,2,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,TU-004,"전이성 척추 질환에서 최소침습 접근법(경피적 고정, 시멘트 보강)의 적응증, 결과, 합병증에 대한 근거는?",System D,1,2,1,2,2,8,39,20,LLM-only; 39 unverifiable author-year citations; high hallucination risk
GPT,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System A,5,5,4,4,4,22,0,2,10 papers retrieved; claims mostly grounded; generally reliable
GPT,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System B,5,5,4,4,4,22,0,2,4 papers retrieved; claims mostly grounded; generally reliable
GPT,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System C,1,2,1,2,2,8,13,20,LLM-only; 13 unverifiable author-year citations; high hallucination risk
GPT,TU-005,척수내 종양(상의세포종 vs 성상세포종)에서 전절제 vs 아전절제의 수술 결과 및 예후 인자는?,System D,4,4,2,3,3,16,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
